Transaction Date,Transaction Amount,Merchant,User ID,Full Name,Product Category
2024-12-29,12.912,Lyft,USER__016,Thomas Salas,
2024-12-16,17.964,Interac Transfer,USER__017,Kevin Harris,
2024-12-12,60.0,Interac Transfer,USER__018,Jose Gould,
2024-12-18,5.94,Walmart,USER__019,Lisa Ross,
2024-12-14,30.0,Lyft,USER__020,Melanie Greene,
2024-12-22,9.432,Lyft,USER__001,Sean Rodriguez,
2024-12-19,10.8,Lyft,USER__002,Nathan Snyder,
2025-01-11,36.0,Interac Transfer,USER__003,Kelsey Pena,
2024-12-20,6.0,Walmart,USER__004,Denise Porter,
2024-12-24,7.2,Best Buy,USER__005,Alexander Richardson,
2024-12-16,5.4,Starbucks,USER__006,Kimberly Ball,
2024-12-30,33.84,Amazon,USER__007,Julie Russell,
2024-12-20,19.2,Walmart,USER__008,Amber Brown,
2024-12-14,29.052,Walmart,USER__009,Amy Pierce,
2025-01-05,10.152,Amazon,USER__010,Daniel Pitts,
2025-01-11,102.0,Amazon,USER__011,Jessica White,
2024-12-16,19.2,Amazon,USER__012,Pamela Nguyen,
2025-01-08,11.04,Walmart,USER__013,Aaron Martinez,
2025-01-12,66.0,Starbucks,USER__014,Darlene Tucker,
2025-01-07,5.976,Walmart,USER__015,Jason Johnson,
2024-12-22,6.0,Interac Transfer,USER__016,Thomas Salas,
2024-12-14,6.12,Amazon,USER__017,Kevin Harris,
2024-12-14,24.0,Interac Transfer,USER__018,Jose Gould,
2024-12-15,28.8,Uber,USER__019,Lisa Ross,
2025-01-03,6.48,Shell,USER__020,Melanie Greene,
2024-12-18,33.792,Home Depot,USER__001,Sean Rodriguez,
2025-01-10,22.488,Interac Transfer,USER__002,Nathan Snyder,
2024-12-12,22.8,eBay,USER__003,Kelsey Pena,
2024-12-14,24.0,Interac Transfer,USER__004,Denise Porter,
2025-01-06,6.0,Interac Transfer,USER__005,Alexander Richardson,
2025-01-09,246.0,Lyft,USER__006,Kimberly Ball,
2025-01-11,13.044,Target,USER__007,Julie Russell,
2024-12-22,21.6,Shell,USER__008,Amber Brown,
2024-12-29,55.944,Shell,USER__009,Amy Pierce,
2025-01-12,23.988,Shell,USER__010,Daniel Pitts,
2024-12-28,13.4304,Interac Transfer,USER__011,Jessica White,
2024-12-28,7.404,Best Buy,USER__012,Pamela Nguyen,
2024-12-20,5.16,eBay,USER__013,Aaron Martinez,
2024-12-16,5.244,Interac Transfer,USER__014,Darlene Tucker,
2024-12-18,10.14,Walmart,USER__015,Jason Johnson,
2025-01-01,6.0,eBay,USER__016,Thomas Salas,
2024-12-23,24.0,Interac Transfer,USER__017,Kevin Harris,
2025-01-12,6.0,Amazon,USER__018,Jose Gould,
2025-01-04,31.188,Best Buy,USER__019,Lisa Ross,
2024-12-22,38.4,Lyft,USER__020,Melanie Greene,
2024-12-23,11.94,Home Depot,USER__001,Sean Rodriguez,
2024-12-28,7.2,eBay,USER__002,Nathan Snyder,
2024-12-27,10.86,Interac Transfer,USER__003,Kelsey Pena,
2025-01-06,6.048,Amazon,USER__004,Denise Porter,
2025-01-03,135.432,Walmart,USER__005,Alexander Richardson,
2024-12-23,24.0,Amazon,USER__006,Kimberly Ball,
2024-12-15,7.98,Walmart,USER__007,Julie Russell,
2024-12-15,7.92,Target,USER__008,Amber Brown,
2024-12-19,17.748,Walmart,USER__009,Amy Pierce,
2025-01-09,9.636,Uber,USER__010,Daniel Pitts,
2025-01-06,41.988,Amazon,USER__011,Jessica White,
2024-12-23,32.052,Home Depot,USER__012,Pamela Nguyen,
2024-12-31,72.0,Starbucks,USER__013,Aaron Martinez,
2025-01-11,5.04,Amazon,USER__014,Darlene Tucker,
2025-01-02,12.0,Amazon,USER__015,Jason Johnson,
2024-12-18,5.2056,Lyft,USER__016,Thomas Salas,
2025-01-09,44.4,eBay,USER__017,Kevin Harris,
2025-01-08,12.0,Best Buy,USER__018,Jose Gould,
2025-01-07,6.312,Starbucks,USER__019,Lisa Ross,
2024-09-06,35.47,Smith-Russell,USER__001,Sean Rodriguez,
2024-10-11,11.31,"Wilson, Wilson and Russell",USER__002,Nathan Snyder,
2024-12-09,161.39,Miller PLC,USER__003,Kelsey Pena,
2024-09-29,77.73,Jackson-Morgan,USER__004,Denise Porter,
2024-09-18,142.85,"Blake, Mays and Anderson",USER__005,Alexander Richardson,
2024-10-02,928.68,"Miller, Walker and Bond",USER__006,Kimberly Ball,
2024-10-10,142.07,Taylor-Morrow,USER__007,Julie Russell,
2024-09-28,54.31,Underwood-Contreras,USER__008,Amber Brown,
2024-10-14,79.57,Rodriguez Ltd,USER__009,Amy Pierce,
2024-12-28,39.87,Shaw-Elliott,USER__010,Daniel Pitts,
2024-10-07,366.56,"Berry, Reeves and Best",USER__011,Jessica White,
2024-12-29,148.26,Schwartz-Stephens,USER__012,Pamela Nguyen,
2024-12-27,631.18,Padilla-Greene,USER__013,Aaron Martinez,
2024-09-12,1745.4,Manning Inc,USER__014,Darlene Tucker,
2024-09-23,2423.86,King-Wright,USER__015,Jason Johnson,
2024-11-15,57.83,Jimenez Inc,USER__016,Thomas Salas,
2025-01-03,147.43,Thomas LLC,USER__017,Kevin Harris,
2024-10-14,128.67,Sanders PLC,USER__018,Jose Gould,
2024-11-14,711.74,Diaz LLC,USER__019,Lisa Ross,
2025-01-09,16.68,Barnes-Walton,USER__020,Melanie Greene,
2024-09-10,185.8,Nguyen-Bradley,USER__021,Michelle Kim,
2024-11-18,130.7,Hester-Greer,USER__022,Ann Sullivan,
2024-10-26,2612.99,"Woodard, Boyd and Mays",USER__023,Sabrina White,
2024-12-05,139.2,"White, Hensley and Hayes",USER__024,Leslie Campbell,
2024-10-06,12.26,Howard-Miller,USER__025,Ashley Carr,
2024-11-26,1949.03,Stephens-Shelton,USER__026,John Woods,
2024-09-08,76.6,Oconnor PLC,USER__027,Michael Hines,
2024-11-02,21.85,Yu and Sons,USER__028,David Morrison,
2024-12-24,154.36,Phillips Inc,USER__029,Jennifer Quinn,
2024-11-21,50.69,Rogers-Levy,USER__030,Christy Ramos,
2024-11-06,1616.19,"Jackson, Ray and Cooper",USER__031,Douglas Martin,
2024-09-18,246.62,Patterson-Davenport,USER__032,Fernando Oliver,
2024-09-04,231.35,Miller Inc,USER__033,Andrew Armstrong,
2024-09-18,202.12,Patel LLC,USER__034,Alexander Li,
2024-09-10,58.75,Webster and Sons,USER__035,Raymond Ayala,
2024-10-01,79.0,"Brown, Jones and Perez",USER__036,Michele Anderson,
2024-12-24,141.06,Bass Inc,USER__037,Patricia Jordan,
2024-10-20,2311.32,Roberts and Sons,USER__038,Stephanie Tran,
2024-12-02,269.51,Robertson-Golden,USER__039,Diane Hudson,
2025-01-05,1854.31,"Valdez, Carter and Brown",USER__040,Michael Williams,
2024-10-21,429.49,"Hayes, Ross and Smith",USER__041,Carolyn Brown,
2024-11-20,134.33,Vega-Jackson,USER__042,Lisa Morse,
2024-10-18,927.47,Turner Group,USER__043,Ashley Smith,
2024-09-30,144.23,"Frazier, Edwards and Wall",USER__044,Christopher Harmon,
2024-11-11,2163.17,"Hudson, Fry and Moore",USER__045,Scott Chase,
2024-11-14,701.38,Miller LLC,USER__046,Erika Vazquez,
2024-09-06,50.36,"Jones, Sutton and Burton",USER__047,Joseph Jones,
2024-10-25,193.66,"Wright, Christian and Moon",USER__048,Shannon Duke,
2024-12-29,974.83,"Jones, Cortez and Weaver",USER__049,Michael Yang,
2024-11-21,202.51,"Anderson, Garcia and Beard",USER__050,James Stewart,
2024-12-23,88.84,Haney-Palmer,USER__051,Mark Anderson,
2024-12-01,212.61,Melendez-Bennett,USER__052,Harold Smith,
2024-09-30,1658.37,"Hall, Wright and Jefferson",USER__053,James Parker,
2024-11-10,53.81,Nelson Inc,USER__054,Rebecca Lopez,
2024-12-27,45.99,Evans LLC,USER__055,Cameron Nielsen,
2024-12-05,2774.08,Hall and Sons,USER__056,Mark Bailey,
2024-12-23,306.21,"Velasquez, Shah and Thomas",USER__057,John Davis,
2024-12-28,214.52,"Aguilar, Rodriguez and Cruz",USER__058,Roger Riley,
2024-09-17,105.78,"Levy, Nelson and Wilson",USER__059,Jason Jones,
2024-09-20,136.61,Wilson PLC,USER__060,Richard Williams,
2024-09-04,209.17,Guerrero-Delgado,USER__061,Melissa Turner,
2024-10-08,73.27,Reyes-Perkins,USER__062,Tina Lucas,
2024-11-11,524.45,Downs-Donovan,USER__063,Paul Potter,
2024-11-29,31.99,Mejia-Farley,USER__064,Kevin Hensley,
2024-09-01,123.18,Chan-Myers,USER__065,Jose Green,
2024-12-03,10.02,Reed-Warner,USER__066,Erin Baker,
2025-01-11,59.0,Fisher Group,USER__067,Kimberly Gonzalez,
2024-10-04,232.62,"Orozco, Patterson and Robinson",USER__068,Barbara Collins,
2024-10-16,1981.24,"Frey, Davis and Davis",USER__069,Jennifer Villegas,
2024-12-04,215.27,Taylor-Lewis,USER__070,Franklin Mason,
2024-11-03,425.61,Scott Ltd,USER__001,Sean Rodriguez,
2025-01-03,226.16,"Goodwin, Lopez and Skinner",USER__071,Michelle Phelps,
2024-10-15,147.81,"Thomas, Harrell and Davenport",USER__002,Nathan Snyder,
2025-01-05,2471.45,Richards Ltd,USER__072,Crystal Knapp,
2024-12-15,18.96,"Ellis, Chambers and Wilson",USER__005,Alexander Richardson,
2024-10-20,2648.72,Little-Solomon,USER__073,Hunter Peters,
2024-12-31,488.7,Robinson-Gibson,USER__007,Julie Russell,
2025-01-11,764.15,"Hernandez, Johnson and Anderson",USER__008,Amber Brown,
2024-10-22,193.57,"Smith, Kerr and Brooks",USER__074,Elizabeth Barnes,
2024-12-27,359.88,Stout-Brock,USER__075,Patrick Price,
2024-09-15,76.07,"Case, Johnson and Wells",USER__076,Sara Michael,
2025-01-11,692.42,Norton LLC,USER__011,Jessica White,
2024-10-04,51.63,Tucker Group,USER__077,William Contreras,
2024-09-14,61.23,"Smith, Everett and Ellis",USER__078,Adam Hansen,
2024-10-26,97.47,Guzman Ltd,USER__013,Aaron Martinez,
2024-09-13,791.56,Bailey and Sons,USER__079,Hannah Maynard,
2024-09-12,741.27,Chandler-Watkins,USER__015,Jason Johnson,
2025-01-03,80.19,Taylor-Thompson,USER__080,Emily Mcdaniel,
2024-11-17,14.92,Owens LLC,USER__016,Thomas Salas,
2024-09-23,424.43,Nixon-Thompson,USER__017,Kevin Harris,
2024-10-02,122.58,"Romero, Woods and Flores",USER__081,Michael Huang,
2024-12-20,274.06,Day LLC,USER__082,Dana Hunt,
2024-10-25,2045.17,Carter Group,USER__083,Brian Mcintyre,
2024-12-26,2260.68,Alexander-Miller,USER__084,Tammy Williams,
2024-09-28,784.94,"Lester, West and Walker",USER__085,Justin Mathews,
2024-10-12,81.6,Sanders-Lamb,USER__086,Joshua Burgess,
2024-10-07,2028.85,Heath Group,USER__087,Mary Pittman,
2024-10-11,1343.51,Le Group,USER__088,Joseph Meadows,
2024-11-04,10.96,Smith LLC,USER__089,Juan Kelly,
2024-12-11,99.51,Rodriguez-Nguyen,USER__090,Christina Ellis,
2024-11-09,1035.32,"Barnett, Price and Perkins",USER__091,Martha Gonzales,
2024-10-13,263.9,Edwards-Rodgers,USER__092,Keith Clark,
2024-09-16,74.11,Massey Inc,USER__027,Michael Hines,
2024-12-14,43.66,Foster-Lopez,USER__028,David Morrison,
2024-11-14,74.03,Kim LLC,USER__029,Jennifer Quinn,
2024-09-25,2560.5,Wilkinson Inc,USER__093,Nicholas Jones,
2024-12-17,18.65,"Rogers, Flowers and Dennis",USER__030,Christy Ramos,
2024-11-11,66.13,Robinson-Joseph,USER__031,Douglas Martin,
2024-09-19,2428.68,"Thomas, Fisher and Young",USER__094,Yvonne Silva,
2024-11-10,97.23,Daniel PLC,USER__095,Margaret Carter,
2024-10-03,229.6,"Tran, Roberts and Coleman",USER__096,Charles Glover,
2024-09-13,113.58,Jenkins Group,USER__097,Derrick Aguilar,
2024-10-26,120.31,"Stevens, Armstrong and Brown",USER__098,Courtney Johnson,
2025-01-07,2379.84,"Garcia, Smith and Gay",USER__099,Joy Padilla,
2024-12-28,480.61,Williams-Sanford,USER__100,Lawrence Williams,
2024-10-27,11.52,Mitchell-Brooks,USER__033,Andrew Armstrong,
2024-12-17,285.63,Wilkins PLC,USER__101,Nicole Kaufman,
2024-10-02,27.4,"Baker, Fox and Dunn",USER__102,Lindsay Thompson,
2024-10-28,927.7,Hughes-Schneider,USER__103,Alison Leon,
2024-12-09,25.56,"White, Adams and Velasquez",USER__104,Elizabeth Johnson,
2024-11-25,711.89,Solis-White,USER__105,Christopher Lewis,
2024-12-03,311.92,"Thompson, Keller and Wilson",USER__038,Stephanie Tran,
2024-10-22,803.76,Dudley and Sons,USER__039,Diane Hudson,
2024-09-23,50.23,Burns-Fernandez,USER__040,Michael Williams,
2024-09-20,930.34,Wade-Brown,USER__106,Joseph Powell,
2024-09-12,1688.38,Miller-Villegas,USER__107,Kelsey Ibarra,
2024-09-20,285.98,"Hansen, Ortiz and Johnson",USER__108,William Willis,
2024-10-30,1094.06,"Ware, Lambert and Bernard",USER__109,Shannon Ruiz,
2024-10-01,177.74,Patton-Johnson,USER__110,Michael Paul,
2024-10-28,93.27,Tucker PLC,USER__111,Wayne Madden,
2024-10-25,114.8,"Andrews, Wright and Foley",USER__042,Lisa Morse,
2024-10-29,216.09,Jordan Ltd,USER__112,Sarah Mann,
2024-11-04,428.61,Norman LLC,USER__113,Bianca Bell,
2024-11-27,170.29,"Rangel, Caldwell and Williamson",USER__114,Brenda Haas,
2024-09-22,218.71,"Hurley, Hughes and Brown",USER__115,Deborah Leonard,
2025-01-10,276.51,Ramirez-Sanchez,USER__045,Scott Chase,
2024-12-28,31.05,"Paul, Arroyo and Garcia",USER__047,Joseph Jones,
2024-12-20,735.88,"Griffith, Taylor and Joyce",USER__116,Patrick Knight,
2024-11-17,643.84,"Mayer, Parks and Reed",USER__117,Joseph Torres,
2024-11-06,414.2,Ryan and Sons,USER__118,Kristin Richardson,
2024-12-03,119.04,Cuevas and Sons,USER__051,Mark Anderson,
2024-11-16,17.03,Whitaker PLC,USER__053,James Parker,
2025-01-02,69.44,Carlson-Weiss,USER__054,Rebecca Lopez,
2024-10-19,82.92,Parsons Inc,USER__119,Donald Glass,
2024-11-28,32.96,Thomas-Sandoval,USER__057,John Davis,
2024-10-03,796.26,Walter and Sons,USER__060,Richard Williams,
2024-09-06,2202.33,Simmons Ltd,USER__120,Kathy Maldonado,
2024-09-03,377.1,"Moore, Ferguson and Case",USER__121,Sean Reilly,
2024-12-29,2376.55,"Lara, Dixon and Payne",USER__061,Melissa Turner,
2024-12-14,19.75,"Murphy, Cobb and Willis",USER__062,Tina Lucas,
2024-12-04,154.55,Page Ltd,USER__122,Matthew Moody,
2024-11-11,931.48,"Trevino, Ward and Smith",USER__123,Jacqueline Gonzalez,
2024-09-16,125.19,"Brown, Booker and Mccormick",USER__063,Paul Potter,
2024-11-25,597.92,Clark Inc,USER__066,Erin Baker,
2024-11-21,92.43,Thomas-Wood,USER__068,Barbara Collins,
2024-09-02,282.19,"Higgins, Hall and Davis",USER__070,Franklin Mason,
2024-11-12,84.63,Schultz-Ramirez,USER__124,Eric Richard,
2024-10-16,31.22,"Williams, Wyatt and Cox",USER__001,Sean Rodriguez,
2024-09-10,602.22,Johnson-Mora,USER__125,Jacob Williams,
2025-01-11,645.36,Gonzalez-Tran,USER__002,Nathan Snyder,
2024-12-31,46.92,Medina PLC,USER__126,Thomas Shaw,
2024-10-14,102.77,Andersen LLC,USER__006,Kimberly Ball,
2024-12-25,2912.32,"Oliver, Williams and Hill",USER__073,Hunter Peters,
2024-09-20,2840.77,Travis Group,USER__007,Julie Russell,
2024-11-19,399.59,Friedman Ltd,USER__127,Christopher Harris,
2024-12-16,91.84,Anderson-Short,USER__008,Amber Brown,
2024-11-07,69.33,"Smith, Bell and Erickson",USER__009,Amy Pierce,
2025-01-08,255.46,"Mckee, Lawrence and Mann",USER__074,Elizabeth Barnes,
2025-01-01,416.22,"Dixon, Martin and Martin",USER__128,Chad Reese,
2024-12-08,861.39,Santos-Jones,USER__129,Robert Rice,
2024-12-18,155.97,Buchanan-Walter,USER__076,Sara Michael,
2024-11-01,124.81,"Gregory, Brown and Williams",USER__011,Jessica White,
2024-11-22,461.3,"Myers, Riggs and Miller",USER__012,Pamela Nguyen,
2024-12-31,2875.41,Johnson PLC,USER__130,Amy Mercer,
2024-09-02,165.45,"Berry, Russell and Todd",USER__014,Darlene Tucker,
2024-12-16,283.77,"Lam, Long and Luna",USER__131,Benjamin Rice,
2024-11-26,1964.78,Williams-Gregory,USER__015,Jason Johnson,
2024-12-14,651.69,Coleman LLC,USER__080,Emily Mcdaniel,
2024-09-11,55.64,Cooper Group,USER__016,Thomas Salas,
2024-11-16,633.07,Stephens PLC,USER__132,Katherine Howard,
2024-09-09,146.16,"Taylor, Davis and Martin",USER__018,Jose Gould,
2024-10-02,2707.98,Tucker-Robinson,USER__081,Michael Huang,
2025-01-08,303.62,Luna-Ashley,USER__082,Dana Hunt,
2024-11-24,556.79,"Miller, Gomez and Harris",USER__020,Melanie Greene,
2024-12-07,168.13,Bentley Inc,USER__133,Matthew Aguilar,
2024-12-09,84.9,"Murray, Mcintyre and Smith",USER__085,Justin Mathews,
2024-11-02,390.48,Buckley Inc,USER__022,Ann Sullivan,
2025-01-05,52.66,"Butler, Evans and Sims",USER__023,Sabrina White,
2024-10-24,52.76,Allen-Ward,USER__024,Leslie Campbell,
2024-10-13,183.49,Strong-Douglas,USER__087,Mary Pittman,
2024-12-08,39.64,"Adams, Moyer and Foster",USER__025,Ashley Carr,
2025-01-05,14.12,Fox-Miranda,USER__092,Keith Clark,
2024-11-08,1946.7,Roman PLC,USER__134,Amber Taylor,
2024-10-19,12.92,"Bauer, Cross and Bennett",USER__028,David Morrison,
2024-12-18,994.35,Olson Group,USER__029,Jennifer Quinn,
2024-10-02,360.44,"Leonard, Moore and Dennis",USER__135,Jamie Collier,
2024-11-27,1131.32,Howard-Moran,USER__031,Douglas Martin,
2024-09-14,97.02,Lewis Group,USER__136,Holly Jackson,
2024-09-03,769.29,Baldwin Ltd,USER__137,Kimberly Klein,
2024-11-10,2718.59,Schroeder Inc,USER__032,Fernando Oliver,
2024-10-30,219.69,Maldonado LLC,USER__096,Charles Glover,
2025-01-07,46.41,"Koch, Ross and Mcdonald",USER__098,Courtney Johnson,
2024-09-17,867.13,Sutton-Wilkerson,USER__099,Joy Padilla,
2025-01-05,329.03,Moore-Guerra,USER__138,Carol Wilson,
2024-11-29,141.17,"Smith, Howell and Blair",USER__100,Lawrence Williams,
2024-11-09,84.94,May-Harmon,USER__033,Andrew Armstrong,
2024-09-13,173.89,"Barry, Brown and Nelson",USER__139,Anthony Arnold,
2025-01-03,210.78,Bates Ltd,USER__140,Derek Thompson,
2024-12-09,351.96,Davis-Scott,USER__101,Nicole Kaufman,
2024-09-13,78.51,Roberts Inc,USER__141,Hector Saunders,
2024-12-22,764.27,Clark LLC,USER__142,Jesse Clark,
2025-01-02,65.21,"Singleton, Rivera and Perez",USER__143,Rebecca Gamble,
2024-12-27,64.77,Martinez-York,USER__144,Catherine Evans,
2024-10-07,68.21,"Fry, Adams and Johnson",USER__145,Andres Mckinney,
2024-10-18,27.28,Lewis-Nguyen,USER__146,Samuel Cabrera,
2024-09-24,592.94,Palmer and Sons,USER__147,Jennifer Tapia,
2024-12-10,294.39,Mcclain-Duncan,USER__105,Christopher Lewis,
2024-12-22,853.12,"Henry, Lewis and Johnson",USER__039,Diane Hudson,
2024-10-06,137.76,Garza-Morales,USER__107,Kelsey Ibarra,
2024-09-26,70.38,Levy Inc,USER__108,William Willis,
2024-11-07,264.84,Hernandez-Sandoval,USER__041,Carolyn Brown,
2024-11-08,116.63,Hunt-Daniel,USER__148,Travis Reed,
2024-12-19,195.52,Baldwin-Thomas,USER__149,Regina Woods,
2024-11-29,1570.67,Carlson Inc,USER__111,Wayne Madden,
2024-10-04,285.06,Ramos Ltd,USER__150,Selena Lewis,
2024-09-28,678.39,Willis PLC,USER__042,Lisa Morse,
2024-11-25,63.49,Peterson-Fowler,USER__045,Scott Chase,
2024-12-25,27.67,Schmidt and Sons,USER__046,Erika Vazquez,
2025-01-04,344.24,Berry Group,USER__116,Patrick Knight,
2024-10-25,813.81,Foster Ltd,USER__151,Scott Daniels,
2025-01-04,322.37,"Foster, Whitaker and Miller",USER__048,Shannon Duke,
2024-10-20,25.82,Cross Group,USER__152,Denise Mathews,
2024-10-11,197.61,Fowler-Calhoun,USER__049,Michael Yang,
2024-11-24,2282.64,Green Ltd,USER__153,Madison Liu,
2024-09-17,90.53,Griffith-Brown,USER__118,Kristin Richardson,
2024-10-14,413.45,Brown Ltd,USER__050,James Stewart,
2024-09-02,87.17,Thomas Inc,USER__154,Kyle Wade,
2024-11-18,833.73,Taylor Inc,USER__053,James Parker,
2024-10-03,240.6,Ali-Diaz,USER__054,Rebecca Lopez,
2024-11-14,304.51,"Anderson, Malone and Bailey",USER__155,Christopher Campbell,
2024-09-23,123.99,"Shields, Cox and Murray",USER__119,Donald Glass,
2024-09-16,626.23,Wallace Inc,USER__156,Christopher Reynolds,
2024-10-12,37.42,Schroeder Inc,USER__058,Roger Riley,
2024-10-15,2241.23,"Hughes, Martin and Garcia",USER__059,Jason Jones,
2024-09-28,37.98,"Robinson, Blankenship and Pineda",USER__060,Richard Williams,
2024-09-30,267.08,Wells-James,USER__121,Sean Reilly,
2024-12-01,78.8,Porter-Villanueva,USER__122,Matthew Moody,
2024-12-04,116.81,Lewis Group,USER__157,Anthony Armstrong,
2025-01-12,64.51,Gomez Group,USER__063,Paul Potter,
2024-12-11,310.46,Simpson Ltd,USER__064,Kevin Hensley,
2024-10-30,119.71,Moyer and Sons,USER__066,Erin Baker,
2024-11-18,1501.17,Mcmahon LLC,USER__067,Kimberly Gonzalez,
